posting_id,company_name_normalized,division_name_raw,role_name_raw,type,content
840291d6,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,requirement,"전기전자, 건축/토목, 재료/금속, 화학/화공, 기계, 산업공학, 환경/안전, 수학/통계 계열"
840291d6,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,requirement,전공자 또는 이에 상응하는 전공지식 보유자
840291d6,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,requirement,기술적 이론과 분석적 사고를 바탕으로 공학적인 문제 해결이 가능한 자
840291d6,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,preference,해당 전공 관련 기사 및 기술사 자격증 취득자
840291d6,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,preference,직무와 연관된 대내외 활동 경험 보유자
840291d6,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,preference,"해외 법인과 커뮤니케이션이 가능한 수준의 외국어(영어, 중국어) 회화 역량 보유자"
c44da4b4,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,requirement,"전기전자, 건축/토목, 재료/금속, 화학/화공, 기계, 산업공학, 환경/안전, 수학/통계 계열"
c44da4b4,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,requirement,전공자 또는 이에 상응하는 전공지식 보유자
c44da4b4,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,requirement,기술적 이론과 분석적 사고를 바탕으로 공학적인 문제 해결이 가능한 자
c44da4b4,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,preference,해당 전공 관련 기사 및 기술사 자격증 취득자
c44da4b4,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,preference,직무와 연관된 대내외 활동 경험 보유자
c44da4b4,삼성전자 DS 부문,글로벌제조&인프라총괄,Facility 기술,preference,"해외 법인과 커뮤니케이션이 가능한 수준의 외국어(영어, 중국어) 회화 역량 보유자"
c1ebd795,삼성전자 DS 부문,글로벌제조&인프라총괄,Gas/Chemical기술,requirement,"전기전자, 재료/금속, 화학/화공, 기계, 산업공학, 환경/안전, 수학/통계 계열 전공자 또는"
c1ebd795,삼성전자 DS 부문,글로벌제조&인프라총괄,Gas/Chemical기술,requirement,이에 상응하는 전공지식 보유자
