posting_id,company_name_normalized,division_name_raw,role_name_raw,type,content
20c147a4,SK하이닉스,IT,IT,requirement,∙ 4년제 학사 이상 졸업(예정)자 (학/석/박)
20c147a4,SK하이닉스,IT,IT,requirement,"∙ 전산, 컴퓨터, 산업공학, 경영정보학, 전기, 전자, 반도체 등 관련 전공"
20c147a4,SK하이닉스,IT,IT,requirement,| 행동역량 및 Skillset(
20c147a4,SK하이닉스,IT,IT,preference,"∙ Software 설계/개발 경험/역량 보유 : C/C++, C#, JAVA, SQL, React, SpringBoot,"
20c147a4,SK하이닉스,IT,IT,preference,"Redis, Open Source Software 등 Language/DBMS 역량/ALM Tool 이해"
20c147a4,SK하이닉스,IT,IT,preference,"∙ AMHS(OHT, AMR 등) 기술에 대한 H/W, S/W 이해"
20c147a4,SK하이닉스,IT,IT,preference,"∙ IoT, Cloud, Big Data, Mobile, 서버가상화/VDI, AR/VR, UI/UX/CX 기술에 대한 이해"
20c147a4,SK하이닉스,IT,IT,preference,∙ 시스템 구축 기획 및 아키텍처 설계 경험/역량 보유
20c147a4,SK하이닉스,IT,IT,preference,∙ Agile/DevOps 등 개발 방법론에 대한 이해
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,requirement,데이터 분석 및 통신 방식을 이해하고 신기술에 대한 관심과 이해도를 보유한 자
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,requirement,시스템 요구사항을 이해하고 이에 맞는 소프트웨어 및 IT인프라 기획/설계가 가능한 자
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,requirement,"컴퓨터, 전기전자/통신, 수학/통계/산업공학, 물리/기계 계열 전공자 또는 이에 상응하는 전공"
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,requirement,지식 보유자
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,프로그래밍 언어(C/C++/C#/Python/Java 등) 및 알고리즘 문제 해결 역량 보유자
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,소프트웨어 및 하드웨어 플랫폼을 활용한 프로젝트 수행 경험 보유자
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,"보안관리 및 거버넌스, 통신보안, 표준화 데이터베이스, 인터넷보안 관련 경험 보유자"
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,"해외 법인과 커뮤니케이션이 가능한 수준의 외국어(영어, 중국어) 회화 역량 보유자"
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,"운영체제(Windows/Linux) 및 Embedded시스템, ARM Architecture역량 보유자"
54740e49,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,CAD/CAE 관련 Tool 역량 보유자
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,requirement,데이터 분석 및 통신 방식을 이해하고 신기술에 대한 관심과 이해도를 보유한 자
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,requirement,시스템 요구사항을 이해하고 이에 맞는 소프트웨어 및 IT인프라 기획/설계가 가능한 자
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,requirement,"컴퓨터, 전기전자/통신, 수학/통계/산업공학, 물리/기계 계열 전공자 또는 이에 상응하는 전공"
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,requirement,지식 보유자
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,프로그래밍 언어(C/C++/C#/Python/Java 등) 및 알고리즘 문제 해결 역량 보유자
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,소프트웨어 및 하드웨어 플랫폼을 활용한 프로젝트 수행 경험 보유자
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,"보안관리 및 거버넌스, 통신보안, 표준화 데이터베이스, 인터넷보안 관련 경험 보유자"
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,"해외 법인과 커뮤니케이션이 가능한 수준의 외국어(영어, 중국어) 회화 역량 보유자"
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,"운영체제(Windows/Linux) 및 Embedded시스템, ARM Architecture역량 보유자"
791fc8ce,삼성전자 DS 부문,,MIS(Management Information System) 기획/구축/운영,preference,CAD/CAE 관련 Tool 역량 보유자
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,requirement,데이터 분석 및 통신 방식을 이해하고 신기술에 대한 관심과 이해도를 보유한 자
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,requirement,시스템 요구사항을 이해하고 이에 맞는 소프트웨어 및 IT인프라 기획/설계가 가능한 자
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,requirement,"컴퓨터, 전기전자/통신, 수학/통계/산업공학, 물리/기계 계열 전공자 또는 이에 상응하는 전공"
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,requirement,지식 보유자
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,preference,프로그래밍 언어(C/C++/C#/Python/Java 등) 및 알고리즘 문제 해결 역량 보유자
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,preference,소프트웨어 및 하드웨어 플랫폼을 활용한 프로젝트 수행 경험 보유자
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,preference,"보안관리 및 거버넌스, 통신보안, 표준화 데이터베이스, 인터넷보안 관련 경험 보유자"
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,preference,"해외 법인과 커뮤니케이션이 가능한 수준의 외국어(영어, 중국어) 회화 역량 보유자"
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,preference,"운영체제(Windows/Linux) 및 Embedded시스템, ARM Architecture역량 보유자"
a4b506e2,삼성전자,,MIS(Management Information System) 기획/구축/운영,preference,CAD/CAE 관련 Tool 역량 보유자
14725550,삼성전자,System LSI사업부,S/W 개발,requirement,프로그래밍 언어 (C/C++/C#/Python/Java 등) 및 알고리즘 문제 해결 역량 보유자
14725550,삼성전자,System LSI사업부,S/W 개발,requirement,"Embedded 시스템 및 ARM Architecture, 운영체제(Windows/Linux) 역량 보유자"
14725550,삼성전자,System LSI사업부,S/W 개발,requirement,요구 사항을 이해하고 이에 맞는 소프트웨어를 설계 및 구현할 수 있는 역량 보유자
14725550,삼성전자,System LSI사업부,S/W 개발,preference,"직무와 연관된 경험 보유자 (프로젝트, 논문, 특허, 경진대회)"
14725550,삼성전자,System LSI사업부,S/W 개발,preference,소프트웨어/하드웨어 플랫폼을 활용한 프로젝트 수행 경험 보유자
14725550,삼성전자,System LSI사업부,S/W 개발,preference,"CSTS, ISTQB 등 SW Testing Certificate 보유자"
14725550,삼성전자,System LSI사업부,S/W 개발,preference,Front-end Web Programming 경험자
14725550,삼성전자,System LSI사업부,S/W 개발,preference,Machine Learning에 대한 이해와 활용 경험 보유자
1747048d,삼성전자,,S/W 개발,requirement,프로그래밍 언어(C/C++/C#/Python/Java 등) 및 알고리즘 문제해결 역량 보유자
